Feature,Importance
employment_status,0.29642748124928053
debt_to_income_ratio,0.15100411618331408
credit_score,0.12798846124684568
loan_term,0.11614490893044048
interest_rate,0.03980832197107096
gender,0.027585378392336036
age,0.027396353222475075
current_balance,0.024305009345662373
installment,0.02425222493591843
total_credit_limit,0.024057203369685934
loan_amount,0.023278276101914026
marital_status,0.02322598316606967
annual_income,0.02260959855946496
monthly_income,0.022605666350941304
loan_purpose,0.02245941056090022
num_of_open_accounts,0.01399631749696733
education_level,0.012855288916712846
